groupI	822611	822611
groupI	822612	822612
groupI	963893	963893
groupI	2056754	2056754
groupI	2313018	2313018
groupI	2313027	2313027
groupI	2313032	2313032
groupI	2313067	2313067
groupI	2641653	2641653
groupI	2641655	2641655
groupI	2641677	2641677
groupI	2641693	2641693
groupI	2641699	2641699
groupI	2834304	2834304
groupI	3177062	3177062
groupI	3943445	3943445
groupI	4285018	4285018
groupI	4285032	4285032
groupI	4285051	4285051
groupI	6051500	6051500
groupI	7120568	7120568
groupI	7120574	7120574
groupI	7120585	7120585
groupI	7120592	7120592
groupI	7120600	7120600
groupI	7120603	7120603
groupI	7120607	7120607
groupI	7120612	7120612
groupI	7120626	7120626
groupI	7120633	7120633
groupI	7120648	7120648
groupI	7120663	7120663
groupI	8051415	8051415
groupI	8051418	8051418
groupI	8051426	8051426
groupI	9185872	9185872
groupI	9185874	9185874
groupI	9541003	9541003
groupI	10511237	10511237
groupI	10511306	10511306
groupI	10844836	10844836
groupI	15532092	15532092
groupI	15998126	15998126
groupI	15998130	15998130
groupI	15998141	15998141
groupI	15998154	15998154
groupI	15998159	15998159
groupI	15998163	15998163
groupI	15998167	15998167
groupI	15998189	15998189
groupI	15998194	15998194
groupI	15998201	15998201
groupI	15998204	15998204
groupI	16023001	16023001
groupI	20306742	20306742
groupI	20307255	20307255
groupI	20307291	20307291
groupI	21002973	21002973
groupI	21397269	21397269
groupI	21397289	21397289
groupI	21397301	21397301
groupI	21397304	21397304
groupI	21397320	21397320
groupI	21397325	21397325
groupI	21536129	21536129
groupI	21609628	21609628
groupI	21609641	21609641
groupI	21656431	21656431
groupI	23513986	23513986
groupI	23514924	23514924
groupI	24126480	24126480
groupI	25131928	25131928
groupI	25131939	25131939
groupI	25131942	25131942
groupI	25131947	25131947
groupI	25228265	25228265
groupII	845514	845514
groupII	1153558	1153558
groupII	1737900	1737900
groupII	1737909	1737909
groupII	1737912	1737912
groupII	2476640	2476640
groupII	2476648	2476648
groupII	2476659	2476659
groupII	2476666	2476666
groupII	3969418	3969418
groupII	5768790	5768790
groupII	5768798	5768798
groupII	5768804	5768804
groupII	5768829	5768829
groupII	5955788	5955788
groupII	5955817	5955817
groupII	7120602	7120602
groupII	7397683	7397683
groupII	8498471	8498471
groupII	8498524	8498524
groupII	9777959	9777959
groupII	9777985	9777985
groupII	11697161	11697161
groupII	17300869	17300869
groupII	18736103	18736103
groupII	20340973	20340973
groupII	20340983	20340983
groupII	20794635	20794635
groupII	20794650	20794650
groupII	20794653	20794653
groupII	21304955	21304955
groupIII	509294	509294
groupIII	2319430	2319430
groupIII	5690230	5690230
groupIII	7764140	7764140
groupIII	9982537	9982537
groupIII	11110725	11110725
groupIII	11110772	11110772
groupIII	11110777	11110777
groupIII	11110800	11110800
groupIII	11110824	11110824
groupIII	12424980	12424980
groupIII	13078914	13078914
groupIII	13424403	13424403
groupIII	13424414	13424414
groupIII	13424442	13424442
groupIII	13424465	13424465
groupIII	13523374	13523374
groupIII	13932995	13932995
groupIII	13933005	13933005
groupIII	13933021	13933021
groupIII	13933033	13933033
groupIII	13933035	13933035
groupIII	13933052	13933052
groupIII	15261979	15261979
groupIII	15262013	15262013
groupIII	15262027	15262027
groupIII	15262047	15262047
groupIII	15956765	15956765
groupIII	15956774	15956774
groupIII	15956778	15956778
groupIII	15956797	15956797
groupIII	15956815	15956815
groupIII	15956818	15956818
groupIII	15956827	15956827
groupIII	15956848	15956848
groupIII	16028122	16028122
groupIII	16513780	16513780
groupIII	16513784	16513784
groupIII	16513793	16513793
groupIII	16566573	16566573
groupIII	16566623	16566623
groupIII	16566648	16566648
groupIV	3592889	3592889
groupIV	3638081	3638081
groupIV	4188437	4188437
groupIV	4188507	4188507
groupIV	4363705	4363705
groupIV	6354088	6354088
groupIV	6354102	6354102
groupIV	7240336	7240336
groupIV	7656323	7656323
groupIV	7656371	7656371
groupIV	7770544	7770544
groupIV	7912850	7912850
groupIV	7912863	7912863
groupIV	7912872	7912872
groupIV	7912881	7912881
groupIV	9075287	9075287
groupIV	10368999	10368999
groupIV	12717933	12717933
groupIV	12791427	12791427
groupIV	14837929	14837929
groupIV	14837934	14837934
groupIV	14837944	14837944
groupIV	15537837	15537837
groupIV	15537855	15537855
groupIV	16039666	16039666
groupIV	19812092	19812092
groupIV	19812106	19812106
groupIV	19937064	19937064
groupIV	21198783	21198783
groupIV	21365225	21365225
groupIV	21365267	21365267
groupIV	21581446	21581446
groupIV	21581447	21581447
groupIV	21622600	21622600
groupIV	21734194	21734194
groupIV	21734223	21734223
groupIV	21734250	21734250
groupIV	21734262	21734262
groupIV	22809874	22809874
groupIV	22809890	22809890
groupIV	22869102	22869102
groupIV	24683380	24683380
groupIV	25074883	25074883
groupIV	25342768	25342768
groupIV	28275634	28275634
groupIV	29366481	29366481
groupIV	29824097	29824097
groupIV	29824100	29824100
groupIV	29824128	29824128
groupIV	31190359	31190359
groupIV	31220977	31220977
groupIV	31522176	31522176
groupIV	31522196	31522196
groupIV	31886700	31886700
groupIV	32129894	32129894
groupIV	32129930	32129930
groupIV	32129932	32129932
groupIV	32316808	32316808
groupIV	32569155	32569155
groupIV	32569158	32569158
groupIV	32569163	32569163
groupIV	32569173	32569173
groupIV	32569176	32569176
groupIV	32569181	32569181
groupIV	32569190	32569190
groupIV	32569195	32569195
groupIV	32569199	32569199
groupIV	32569202	32569202
groupIV	32569215	32569215
groupIV	32569217	32569217
groupIV	32569225	32569225
groupIV	32569229	32569229
groupIV	32569245	32569245
groupIV	32569249	32569249
groupIV	32571217	32571217
groupIX	1111292	1111292
groupIX	1218585	1218585
groupIX	1632862	1632862
groupIX	1902066	1902066
groupIX	3316836	3316836
groupIX	5111470	5111470
groupIX	5326657	5326657
groupIX	5639658	5639658
groupIX	5885900	5885900
groupIX	5885918	5885918
groupIX	6725944	6725944
groupIX	6965749	6965749
groupIX	6965762	6965762
groupIX	6965791	6965791
groupIX	6965821	6965821
groupIX	6965831	6965831
groupIX	7428190	7428190
groupIX	7428237	7428237
groupIX	7428246	7428246
groupIX	7428248	7428248
groupIX	7428258	7428258
groupIX	7428261	7428261
groupIX	8476039	8476039
groupIX	8557656	8557656
groupIX	8557671	8557671
groupIX	8557679	8557679
groupIX	11056610	11056610
groupIX	13910735	13910735
groupIX	13941452	13941452
groupIX	17045482	17045482
groupIX	17772759	17772759
groupIX	17906031	17906031
groupIX	18151161	18151161
groupIX	20002527	20002527
groupIX	20172687	20172687
groupV	1449688	1449688
groupV	2670692	2670692
groupV	2670743	2670743
groupV	3349113	3349113
groupV	5621148	5621148
groupV	5678001	5678001
groupV	5678923	5678923
groupV	6034478	6034478
groupV	6591486	6591486
groupV	8329809	8329809
groupV	8329822	8329822
groupV	8329837	8329837
groupV	8329843	8329843
groupV	8329852	8329852
groupV	8329856	8329856
groupV	8329891	8329891
groupV	8329901	8329901
groupV	8597390	8597390
groupV	9043426	9043426
groupV	9043445	9043445
groupV	9043453	9043453
groupV	10284000	10284000
groupV	10604291	10604291
groupV	10604316	10604316
groupV	10964063	10964063
groupV	11113854	11113854
groupV	11325730	11325730
groupV	11447054	11447054
groupV	11638709	11638709
groupV	11638719	11638719
groupV	11638760	11638760
groupV	11655703	11655703
groupV	11700524	11700524
groupV	11708785	11708785
groupV	11708788	11708788
groupV	11708852	11708852
groupVI	1824262	1824262
groupVI	1907153	1907153
groupVI	2168013	2168013
groupVI	2523646	2523646
groupVI	4361801	4361801
